id,domain,objective,difficulty,citation_host,stem_preview,r1_founder (ok/edit/cut),r2_dawood (ok/cut),notes
amdem-separation-powers-001,american_democracy,SS.7.CG.1.9,1,constitution.congress.gov,Which principle divides the powers of the federal government among a l,,,
amdem-consent-governed-001,american_democracy,SS.912.C.3.1,2,www.archives.gov,"The idea that governments derive ""their just powers from the consent o",,,
amdem-declaration-natural-rights-09,american_democracy,SS.912.CG.1.2,3,www.archives.gov,The Declaration of Independence states that people are endowed by thei,,,
amdem-limited-government-02,american_democracy,SS.912.C.3.1,2,www.archives.gov,A constitution that lists the specific powers a government may exercis,,,
amdem-checks-balances-07,american_democracy,SS.7.CG.1.9,3,constitution.congress.gov,When the President rejects a bill passed by Congress and Congress can ,,,
amdem-natural-law-locke-05,american_democracy,SS.7.CG.1.4,3,www.archives.gov,"According to Locke's idea of natural law, rights such as life and libe",,,
amdem-roman-senate-03,american_democracy,SS.7.CG.1.1,2,www.senate.gov,"The United States borrowed the name of its upper legislative chamber, ",,,
amdem-federalism-11,american_democracy,SS.912.CG.1.5,1,constitution.congress.gov,The constitutional principle by which power is divided between a natio,,,
amdem-supremacy-clause-03,american_democracy,SS.912.CG.3.12,3,constitution.congress.gov,"Under the Supremacy Clause in Article VI, when a valid federal law and",,,
amdem-judicial-review-origin-01,american_democracy,SS.912.CG.3.8,2,www.archives.gov,Which 1803 Supreme Court decision first established the principle of j,,,
amdem-original-jurisdiction-states-05,american_democracy,SS.912.CG.3.13,5,constitution.congress.gov,"Under Article III, a legal dispute between two states, such as a bound",,,
amdem-electoral-college-electors-06,american_democracy,SS.912.CG.2.9,3,constitution.congress.gov,"In a United States presidential election, the voters in each state act",,,
amdem-voting-age-turnout-08,american_democracy,SS.912.CG.2.10,2,constitution.congress.gov,"The Twenty-sixth Amendment enlarged the pool of eligible voters, and t",,,
amdem-plessy-brown-segregation-10,american_democracy,SS.912.CG.2.5,3,www.archives.gov,"In Plessy v. Ferguson (1896), the Supreme Court upheld state laws requ",,,
amdem-republic-advantage-08,american_democracy,SS.7.CG.3.1,3,founders.archives.gov,One advantage of a constitutional republic over a pure (direct) democr,,,
amdem-homestead-economic-freedom-12,american_democracy,SS.912.CG.4.1,3,www.archives.gov,The Homestead Act of 1862 expanded economic opportunity for many citiz,,,
amdem-due-process-06,american_democracy,SS.7.CG.1.9,3,constitution.congress.gov,The Fifth Amendment's guarantee that no person shall be deprived of li,,,
amdem-rule-of-law-01,american_democracy,SS.912.C.3.1,1,www.archives.gov,Which core principle of American democracy holds that laws apply equal,,,
amdem-locke-social-contract-04,american_democracy,SS.7.CG.1.4,2,www.archives.gov,Enlightenment philosopher John Locke argued that the main reason peopl,,,
amdem-declaration-govt-purpose-10,american_democracy,SS.912.CG.1.2,4,www.archives.gov,The Declaration of Independence asserts that governments are institute,,,
usconst-article1-congress-001,us_constitution,SS.912.CG.3.3,1,constitution.congress.gov,"Article I of the Constitution vests ""all legislative Powers herein gra",,,
usconst-bill-of-rights-count-001,us_constitution,SS.912.CG.3.2,1,www.archives.gov,How many amendments make up the Bill of Rights?,,,
usconst-article5-propose-congress-01,us_constitution,SS.7.CG.3.5,2,constitution.congress.gov,"Under Article V, one way an amendment to the Constitution may be propo",,,
usconst-naturalization-power-05,us_constitution,SS.912.CG.2.1,2,constitution.congress.gov,The Constitution gives which body the power to establish a uniform rul,,,
usconst-habeas-corpus-07,us_constitution,SS.912.CG.3.2,3,constitution.congress.gov,The Constitution provides that the privilege of the writ of habeas cor,,,
usconst-house-terms-10,us_constitution,SS.912.CG.3.3,2,constitution.congress.gov,"Under Article I, members of the House of Representatives are elected t",,,
usconst-commander-in-chief-02,us_constitution,SS.912.CG.3.4,1,constitution.congress.gov,Article II makes the President the leader of the nation's armed forces,,,
usconst-judicial-vesting-04,us_constitution,SS.912.CG.3.7,2,constitution.congress.gov,Article III vests the judicial power of the United States in the Supre,,,
usconst-expressed-powers-07,us_constitution,SS.912.CG.3.6,2,constitution.congress.gov,"Powers that are specifically listed in the Constitution, such as the p",,,
usconst-federal-court-tiers-10,us_constitution,SS.912.CG.3.10,2,constitution.congress.gov,The federal court system is organized into three main levels. Which ch,,,
usconst-article5-ratify-states-02,us_constitution,SS.7.CG.3.5,2,constitution.congress.gov,"Once an amendment has been proposed, how many of the states must ratif",,,
usconst-14th-citizenship-clause-04,us_constitution,SS.912.CG.2.1,1,constitution.congress.gov,The Fourteenth Amendment provides that all persons born or naturalized,,,
usconst-14th-superseded-dredscott-06,us_constitution,SS.912.CG.2.1,3,www.archives.gov,"The Fourteenth Amendment's definition of citizenship, ratified in 1868",,,
usconst-article5-senate-suffrage-03,us_constitution,SS.7.CG.3.5,5,constitution.congress.gov,"Article V places one explicit limit on the amendment power, providing ",,,
usconst-5th-due-process-09,us_constitution,SS.912.CG.3.2,2,constitution.congress.gov,"The Fifth Amendment states that no person shall be deprived of life, l",,,
usconst-origination-clause-11,us_constitution,SS.912.CG.3.3,4,constitution.congress.gov,Article I requires that all bills for raising revenue originate in whi,,,
usconst-expostfacto-attainder-08,us_constitution,SS.912.CG.3.2,4,constitution.congress.gov,Article I forbids both Congress and the states from passing bills of a,,,
usconst-impeachment-house-senate-12,us_constitution,SS.912.CG.3.3,3,constitution.congress.gov,"Under Article I, which chamber has the sole power to impeach a federal",,,
usconst-president-qualifications-01,us_constitution,SS.912.CG.3.4,2,constitution.congress.gov,"Under Article II of the U.S. Constitution, a person must meet several ",,,
usconst-good-behavior-tenure-05,us_constitution,SS.912.CG.3.7,3,constitution.congress.gov,Article III states that federal judges shall hold their offices during,,,
founddocs-federalist-purpose-001,founding_documents,SS.912.CG.1.3,2,guides.loc.gov,The Federalist Papers were written primarily to accomplish what goal?,,,
founddocs-articles-confederation-001,founding_documents,SS.7.CG.1.7,2,www.archives.gov,Which document established the first national government of the United,,,
founddocs-articles-notax-01,founding_documents,SS.7.CG.1.7,2,www.archives.gov,A major structural weakness of the Articles of Confederation was that ,,,
founddocs-articles-league-01,founding_documents,SS.912.CG.1.1,3,www.archives.gov,The Articles of Confederation described the union it created among the,,,
founddocs-decl-unalienable-01,founding_documents,SS.912.CG.1.4,2,www.archives.gov,Which ideal stated in the Declaration of Independence holds that peopl,,,
founddocs-fed39-republic-01,founding_documents,SS.912.CG.1.3,4,guides.loc.gov,"In Federalist No. 39, Madison defines a republic as a government that ",,,
founddocs-decl-equality-expand-01,founding_documents,SS.912.CG.2.6,3,www.archives.gov,The Declaration of Independence's assertion that all men are created e,,,
founddocs-articles-amend-01,founding_documents,SS.7.CG.1.7,3,www.archives.gov,"Under the Articles of Confederation, amending the document required th",,,
founddocs-billofrights-expand-01,founding_documents,SS.912.CG.2.6,2,www.archives.gov,"The Bill of Rights, ratified in 1791, expanded the protection of indiv",,,
founddocs-preamble-sovereignty-01,founding_documents,SS.912.CG.1.4,2,www.archives.gov,"The opening words of the Constitution, We the People, reflect which fo",,,
founddocs-fed10-faction-01,founding_documents,SS.912.CG.1.3,3,founders.archives.gov,"In Federalist No. 10, James Madison argued that the best way to contro",,,
founddocs-fed14-repvsdem-01,founding_documents,SS.912.CG.1.3,4,guides.loc.gov,"In Federalist No. 14, Madison distinguishes a republic from a pure dem",,,
founddocs-fed51-ambition-01,founding_documents,SS.912.CG.1.3,3,founders.archives.gov,"Federalist No. 51 argues that, to keep any one part of government from",,,
founddocs-english-bill-of-rights-03,founding_documents,SS.912.CG.1.1,3,constitution.congress.gov,The English Bill of Rights of 1689 limited the power of the monarch an,,,
founddocs-magna-carta-01,founding_documents,SS.912.CG.1.1,2,www.archives.gov,"The Magna Carta, agreed to in 1215, is considered a foundational influ",,,
